F1,F2,D,dropout,learning_rate,batch_size,weight_decay,f1_score,precision,recall,val_loss
16,32,8,0.2933981788660601,0.00019990009964907,32,0.002283552038863246,0.9691647345825132,0.9722457009618187,0.9661909297982209,0.06649830167968859
16,32,8,0.42453622671859487,5.984281284670512e-05,256,0.00814022775293754,0.9658109315461081,0.9664747804086157,0.9652063405436375,0.07134902601440747
4,32,8,0.18328022519162446,9.850521467173122e-05,32,0.0017444019915207269,0.9627423393661069,0.9552891269630024,0.9709536592863116,0.06814250135262821
8,32,2,0.30799253380179353,0.00011640043355967004,32,0.0004727549232138438,0.9664846378167006,0.9604433984944061,0.9729192756057005,0.06651168701366418
16,32,8,0.27313246930375956,0.00014342450844806744,32,0.0010708072436975296,0.9654975655673734,0.9594537826433293,0.971934686351117,0.0662039051821921
16,32,8,0.2530284140882641,2.7449638825963175e-05,256,0.0014047767643694585,0.9638809366846267,0.9542491414593951,0.9745885994907516,0.06861432517568271
16,32,8,0.32248040715033066,6.844116636564234e-05,32,0.007936486365536703,0.9713270000362085,0.9727802728736998,0.9701122700607958,0.07192319035580706
16,32,8,0.32322358157419584,4.657517765090502e-05,32,0.00997559205104477,0.9598428975723333,0.9568253968253968,0.9632407242242488,0.07222610714202544
16,32,8,0.3475885476821202,8.65339274400041e-05,32,0.00709188835836483,0.9657163061988184,0.962523691068467,0.9692673186455022,0.07171495239068147
16,32,8,0.22869597528768817,7.123251992397339e-05,32,0.005733319436303367,0.961251772379328,0.9540612335847595,0.9692673186455022,0.07178646748323682
16,32,8,0.3760505274561682,0.00010269469311323069,32,0.008505431749479283,0.9566863716930819,0.9515157280568239,0.962395772808955,0.07323378630478503
16,32,8,0.20228520594359906,7.666705109793598e-05,32,0.004320867200154299,0.9718282267249952,0.9730078783385623,0.9708140214470219,0.06672263729990885
8,32,4,0.2009067008725446,6.662259303129071e-05,32,0.004236325488315733,0.965794370252143,0.9625168604537565,0.9694069564847919,0.06871848985610995
16,32,8,0.6877548412433722,5.076656825997491e-05,32,0.0035554358068192377,0.9690300164690574,0.9682460294015168,0.9701122700607958,0.07069571318393371
16,32,8,0.33318608980345316,7.97994743120719e-05,32,0.0065188318296767285,0.961168797532434,0.9647995798887509,0.9577762433499318,0.07097531788388986
8,32,8,0.5150470880435541,6.290844406179965e-05,32,0.005329375142469144,0.965867414039864,0.9671356213247754,0.9647874270257687,0.07168536446102813
16,32,8,0.2403028127785303,0.0001563932646070608,32,0.0003225260067905542,0.9646220161021875,0.9628471738966359,0.9664702054768002,0.06436571916223645
16,32,8,0.26198702570444854,5.55757899050671e-05,32,0.004535334992709867,0.9733158063386526,0.9742371732953327,0.9725003620878314,0.06797300745118105
16,32,8,0.2659556477997411,6.034289256590833e-05,32,0.0047412507551525,0.9703385128364741,0.9717875102711102,0.9691276808062126,0.0688635733158267
16,32,8,0.2871286426841912,5.571564113175261e-05,32,0.007247135756164391,0.9741636280821234,0.9778932223612719,0.9706743836077324,0.06992240196458348
16,16,8,0.304321222896987,4.34751500724151e-05,32,0.007669711443890019,0.9703438592962833,0.971608322773133,0.9692673186455022,0.06952741846148654
16,32,4,0.2850950601982045,5.3481772088573195e-05,32,0.0008306200519630769,0.9682056844620511,0.9642561491618095,0.9723571620587639,0.06454230658425292
16,32,8,0.36107466353158724,6.762460159579936e-05,32,0.004253724063442024,0.9684641547298704,0.9674841566671861,0.969689794353149,0.0689646927563919
32,32,8,0.266697132499663,5.747200150044786e-05,128,0.0006406809570958958,0.9663648185471968,0.9561766053505459,0.9775388050647238,0.06500731330985825
16,32,2,0.29743530800468054,3.604509818225574e-05,32,0.006417885434106005,0.9648126226213245,0.9658065360435354,0.963942475610475,0.06902922638793192
8,8,8,0.31674025714204235,8.737449236256824e-05,32,0.00022049277406819488,0.9698398821147807,0.9638276340967272,0.9762749401315611,0.06432633589555854
16,32,8,0.27772084816098286,7.58329757663527e-05,32,0.009216025713414077,0.9684587511163011,0.9676653093086016,0.9695501565138592,0.0718505178456721
16,32,8,0.26106335881110554,4.8375381026960793e-05,32,0.0077310662505103555,0.965643330151354,0.9623542697068966,0.9692673186455022,0.06826825114726291
16,32,8,0.2468698296244614,7.914368724120601e-05,32,0.009865227291154145,0.9694624160448041,0.9681304237334034,0.9709536592863116,0.07027672809224737
16,32,8,0.2912420597280357,6.76879678087478e-05,32,0.005653685282685139,0.9680459196817734,0.9670700779922378,0.9692673186455022,0.06804111901842787
16,32,8,0.23563193832889817,5.4606025814114306e-05,32,0.0034416884686446414,0.9643095778521659,0.965566141147805,0.9632407242242488,0.06671706220810808
16,32,4,0.2528123109001927,9.214729813682272e-05,32,0.006974916167974811,0.9741636280821234,0.9778932223612719,0.9706743836077324,0.06841271654917838
4,32,4,0.5750198608203206,9.566207872135015e-05,32,0.007098066795290482,0.9540487198683403,0.9541142103362775,0.9545467620973804,0.09403492489060306
16,32,4,0.2106257755134311,0.00011206541349544972,32,7.33109723172059e-05,0.9650021712451619,0.9590360342896528,0.9713725728041807,0.06433410579697722
16,32,4,0.3297476578261809,9.098628020028013e-05,32,0.005135115893872556,0.9714831951674058,0.9777156603568029,0.9656323784410622,0.06909020634370593
8,32,4,0.3417008825127941,9.19622354131915e-05,32,0.0047175257558416325,0.9708404151546982,0.9720165833716438,0.9698294321924387,0.07068459369380119
16,32,4,0.32262537794363727,0.00010079512650049854,32,0.0039458006997866585,0.965872251839027,0.9669613502251219,0.9649270648650582,0.06749903194672104
16,32,4,0.3057340737191981,7.889461667548952e-05,32,0.005962664841358983,0.9761195541557947,0.9827315789972535,0.9699726322215062,0.06724400830305809
16,32,4,0.3287104668625416,8.111981446008971e-05,32,0.005132098232463278,0.9709922482280325,0.9771321951044643,0.9652099027334154,0.06889335572929628
16,32,4,0.3046901135402996,0.000681015510758135,32,0.006065041015143326,0.9655314351885798,0.9800739078819358,0.9524549625046824,0.07638409627226951
16,32,4,0.30968485193898065,7.526605624959887e-05,32,0.004514922721735093,0.9613339232287608,0.9538790923609263,0.9695465943240814,0.06918928985871152
16,32,4,0.34420803069450306,0.0005016059337618488,32,0.005367250621207009,0.9648898863163388,0.9658030825744599,0.9640821134497646,0.07465557108061267
16,32,4,0.286975270262769,7.110308128284101e-05,32,0.003038346083497517,0.9702650362098001,0.9716146104052635,0.9691276808062126,0.06796603828463602
16,32,4,0.2816547510318649,6.235275911995436e-05,64,0.006525353506461519,0.966779382197998,0.9755510937754864,0.9586211947652256,0.07238019525032977
8,16,4,0.3281764666091506,8.470140934555576e-05,32,0.0037811802753365863,0.9703438592962833,0.971608322773133,0.9692673186455022,0.06938633272100402
16,32,4,0.3943817967107614,3.169345836211809e-05,32,0.00769293992374734,0.9588513540679394,0.9599303488688186,0.9579158811892216,0.07319308599550783
16,32,4,0.2574185041896004,0.00010562334793381304,32,0.008487657263911225,0.972945788611263,0.9820574897736317,0.9645081513471893,0.07139572917367332
16,32,4,0.19039540814560968,0.00038704238704172163,32,0.006833757146698847,0.9685936919434233,0.9749148113963938,0.9626786106773123,0.07237259839514634
16,32,4,0.27147665421848743,9.151574976891246e-05,32,0.005886390522341577,0.9676980546403708,0.9643335729806403,0.9713761349939585,0.07082116774551611
16,32,4,0.2974743975209906,0.00012120611486915158,32,0.008488438440585389,0.9661291463493852,0.9631179497426547,0.9695501565138592,0.07256267608254743
16,32,4,0.25878979190595025,3.989162184872791e-05,32,0.00739793094299869,0.9705015109276397,0.9765506813643322,0.9647874270257687,0.06869910346501021
16,32,4,0.35321281414557576,0.00010466581881648207,128,0.004985036590131446,0.9635055735520851,0.9581266450425064,0.9694069564847919,0.07317903932804863
16,32,4,0.31206304216962977,0.0001857172342409373,32,0.006016137974325712,0.9648005553354833,0.9661501295309466,0.9636631999318958,0.0721832197222798
16,32,4,0.44268833863997065,5.764766801302875e-05,32,0.004224872465925137,0.962511693568036,0.9573100980604226,0.968282729390919,0.07086154174707505
